strain	virus	accession	date	region	country	division	city	db	segment	authors
BRA/2016/FC_6863	zika	KY785450	2016-04-12	south_america	brazil	brazil	brazil	genbank	genome	Metsky
BRA/2016/FC_6864	zika	KY014297	2016-04-12	south_america	brazil	brazil	brazil	genbank	genome	Metsky
BRA/2016/FC_DQ107D1	zika	KY014301	2016-04-13	south_america	brazil	brazil	brazil	genbank	genome	Metsky
BRA/2016/FC_DQ116D1	zika	KY785429	2016-04-14	south_america	brazil	brazil	brazil	genbank	genome	Metsky
BRA/2016/FC_DQ122D1	zika	KY785456	2016-04-15	south_america	brazil	brazil	brazil	genbank	genome	Metsky
BRA/2016/FC_DQ131D1	zika	KY014296	2016-04-18	south_america	brazil	brazil	brazil	genbank	genome	Metsky
BRA/2016/FC_DQ192D1	zika	KY785485	2016-05-10	south_america	brazil	brazil	brazil	genbank	genome	Metsky
BRA/2016/FC_DQ28D1	zika	KY014317	2016-03-21	south_america	brazil	brazil	brazil	genbank	genome	Metsky
BRA/2016/FC_DQ42D1	zika	KY014320	2016-03-23	south_america	brazil	brazil	brazil	genbank	genome	Metsky
BRA/2016/FC_DQ47D1	zika	KY014309	2016-03-28	south_america	brazil	brazil	brazil	genbank	genome	Metsky
BRA/2016/FC_DQ49D1	zika	KY014307	2016-03-28	south_america	brazil	brazil	brazil	genbank	genome	Metsky
BRA/2016/FC_DQ58D1	zika	KY785427	2016-03-30	south_america	brazil	brazil	brazil	genbank	genome	Metsky
BRA/2016/FC_DQ5D1	zika	KY785437	2016-03-14	south_america	brazil	brazil	brazil	genbank	genome	Metsky
BRA/2016/FC_DQ60D1	zika	KY785411	2016-03-30	south_america	brazil	brazil	brazil	genbank	genome	Metsky
BRA/2016/FC_DQ62D1	zika	KY785480	2016-03-30	south_america	brazil	brazil	brazil	genbank	genome	Metsky
BRA/2016/FC_DQ62D2	zika	KY785455	2016-04-06	south_america	brazil	brazil	brazil	genbank	genome	Metsky
BRA/2016/FC_DQ68D1	zika	KY785467	2016-04-01	south_america	brazil	brazil	brazil	genbank	genome	Metsky
Bahia01	zika	KX101066	2015-05-XX	south_america	brazil	brazil	brazil	genbank	genome	Naccache
Bahia07	zika	KU940228	2015-07-01	south_america	brazil	brazil	brazil	genbank	genome	Naccache
Bahia08	zika	KU940227	2015-07-15	south_america	brazil	brazil	brazil	genbank	genome	Naccache
Bahia09	zika	KU940224	2015-08-01	south_america	brazil	brazil	brazil	genbank	genome	Naccache
Bahia11	zika	KX101064	2015-04-XX	south_america	brazil	brazil	brazil	genbank	genome	Naccache
Bahia12	zika	KX101067	2015-05-XX	south_america	brazil	brazil	brazil	genbank	genome	Naccache
BeH815744	zika	KU365780	2015-XX-XX	south_america	brazil	brazil	brazil	genbank	genome	Azevedo
BeH818995	zika	KU365777	2015-XX-XX	south_america	brazil	brazil	brazil	genbank	genome	Azevedo
BeH819015	zika	KU365778	2015-XX-XX	south_america	brazil	brazil	brazil	genbank	genome	Azevedo
BeH819966	zika	KU365779	2015-XX-XX	south_america	brazil	brazil	brazil	genbank	genome	Azevedo
BeH823339	zika	KU729217	2015-XX-XX	south_america	brazil	brazil	brazil	genbank	genome	Faria
BeH828305	zika	KU729218	2015-XX-XX	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2015/ZBRA105	zika	KY558989	2015-02-23	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2015/ZBRC301	zika	KY558995	2015-05-13	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2015/ZBRC302	zika	KY558996	2015-05-13	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2015/ZBRC303	zika	KY558997	2015-05-14	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2015/ZBRC313	zika	KY558998	2015-06-15	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2015/ZBRC321	zika	KY559000	2015-08-09	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2015/ZBRD103	zika	KY559001	2015-08-20	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2015/ZBRD107	zika	KY559002	2015-09-09	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2015/ZBRD116	zika	KY559003	2015-08-28	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRC14	zika	KY558990	2016-01-15	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRC16	zika	KY558991	2016-01-19	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRC18	zika	KY558992	2016-01-06	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRC25	zika	KY558993	2016-01-18	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRC28	zika	KY558994	2016-01-18	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRC319	zika	KY558999	2016-07-10	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRE69	zika	KY559004	2016-04-16	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRX1	zika	KY559005	2016-04-18	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRX100	zika	KY559017	2016-05-19	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRX102	zika	KY559018	2016-02-25	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRX103	zika	KY559019	2016-05-24	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRX106	zika	KY559020	2016-03-07	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRX11	zika	KY559011	2016-04-19	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRX12	zika	KY559012	2016-04-19	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRX127	zika	KY559021	2016-03-10	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRX128	zika	KY559022	2016-03-13	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRX13	zika	KY559013	2016-04-24	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRX130	zika	KY559023	2016-03-22	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRX137	zika	KY559024	2016-03-03	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRX14	zika	KY559014	2016-04-24	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRX15	zika	KY559015	2016-04-24	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRX16	zika	KY559016	2016-04-25	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRX2	zika	KY559006	2016-04-18	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRX4	zika	KY559007	2016-04-18	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRX6	zika	KY559008	2016-04-19	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRX7	zika	KY559009	2016-04-19	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRX8	zika	KY559010	2016-04-19	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRY1	zika	KY559025	2016-01-15	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRY10	zika	KY559030	2016-01-XX	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRY11	zika	KY559029	2016-01-XX	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRY12	zika	KY559028	2016-01-XX	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRY14	zika	KY817930	2016-01-XX	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRY4	zika	KY559026	2016-01-15	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRY6	zika	KY559027	2016-02-16	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRY7	zika	KY559032	2016-01-XX	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/2016/ZBRY8	zika	KY559031	2016-01-XX	south_america	brazil	brazil	brazil	genbank	genome	Faria
Brazil/PE243/2015	zika	KX197192	2015-XX-XX	south_america	brazil	brazil	brazil	genbank	genome	Donald
Brazil_ZKV2015	zika	KU497555	2015-11-30	south_america	brazil	brazil	brazil	genbank	genome	Calvet
COL/2016/SU_1810A	zika	KY785417	2016-04-06	south_america	colombia	colombia	colombia	genbank	genome	Metsky
COL/2016/SU_1856A	zika	KY785466	2016-04-28	south_america	colombia	colombia	colombia	genbank	genome	Metsky
COL/2016/SU_2293A	zika	KY785477	2016-06-09	south_america	colombia	colombia	colombia	genbank	genome	Metsky
COL/2016/SU_2724A	zika	KY785469	2016-04-05	south_america	colombia	colombia	colombia	genbank	genome	Metsky
COL/FCC00093/2015	zika	KX548902	2015-10-07	south_america	colombia	colombia	colombia	genbank	genome	Leguia
COL/FH02/2016	zika	COL02	2016-02-29	south_america	colombia	colombia	colombia	fh	genome	Black
COL/FH03/2016	zika	COL03	2016-03-09	south_america	colombia	colombia	colombia	fh	genome	Black
COL/FH05/2016	zika	COL05	2016-07-27	south_america	colombia	colombia	colombia	fh	genome	Black
COL/FH07/2016	zika	COL07	2016-05-16	south_america	colombia	colombia	colombia	fh	genome	Black
COL/FH09/2016	zika	COL09	2016-11-02	south_america	colombia	colombia	colombia	fh	genome	Black
COL/FH16/2016	zika	COL16	2016-06-22	south_america	colombia	colombia	colombia	fh	genome	Black
COL/FH19/2016	zika	COL19	2016-08-30	south_america	colombia	colombia	colombia	fh	genome	Black
COL/FLR/2015	zika	KX087102	2015-12-XX	south_america	colombia	colombia	colombia	genbank	genome	Shabman
COL/PAN_00029/2015	zika	MF574585	2016-12-XX	south_america	colombia	colombia	colombia	genbank	genome	Pickett
COL/PAN_00030/2015	zika	MF574587	2016-12-XX	south_america	colombia	colombia	colombia	genbank	genome	Pickett
COL/PRV_00027/2015	zika	MF574579	2016-12-XX	south_america	colombia	colombia	colombia	genbank	genome	Pickett
COL/PRV_00028/2015	zika	MF574578	2016-12-XX	south_america	colombia	colombia	colombia	genbank	genome	Pickett
COL/UF_1/2016	zika	KX247646	2016-02-09	south_america	colombia	colombia	colombia	genbank	genome	Lednicky
Colombia/2016/ZC188Se	zika	KY317936	2016-01-16	south_america	colombia	colombia	colombia	genbank	genome	Quick
Colombia/2016/ZC192Se	zika	KY317937	2016-01-07	south_america	colombia	colombia	colombia	genbank	genome	Quick
Colombia/2016/ZC199Se	zika	KY317938	2016-01-10	south_america	colombia	colombia	colombia	genbank	genome	Quick
Colombia/2016/ZC204Se	zika	KY317939	2016-01-06	south_america	colombia	colombia	colombia	genbank	genome	Quick
Colombia/2016/ZC207Se	zika	KY317940	2016-01-09	south_america	colombia	colombia	colombia	genbank	genome	Quick
Cuba/2017/FL046Se	zika	MH063259	2017-07-26	north_america	cuba	cuba	cuba	genbank	genome	Grubaugh
Cuba/2017/FL047U	zika	MH063260	2017-08-08	north_america	cuba	cuba	cuba	genbank	genome	Grubaugh
Cuba/2017/FL049U	zika	MH063261	2017-09-24	north_america	cuba	cuba	cuba	genbank	genome	Grubaugh
Cuba/2017/FL051Se	zika	MH063262	2017-07-17	north_america	cuba	cuba	cuba	genbank	genome	Grubaugh
Cuba/2017/FL052U	zika	MH063263	2017-08-05	north_america	cuba	cuba	cuba	genbank	genome	Grubaugh
Cuba/2017/FL055Se	zika	MH063264	2017-08-13	north_america	cuba	cuba	cuba	genbank	genome	Grubaugh
Cuba/2017/FL057U	zika	MH063265	2017-07-17	north_america	cuba	cuba	cuba	genbank	genome	Grubaugh
Cuba/2017/Hu0046Sa	zika	MF159531	2017-04-19	north_america	cuba	cuba	cuba	genbank	genome	Grubaugh
Cuba_2017	zika	MF438286	2017-02-12	north_america	cuba	cuba	cuba	genbank	genome	Lasala-Sanchez
DOM/2016/BB_0059	zika	KY785425	2016-04-04	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Metsky
DOM/2016/BB_0071	zika	KY785449	2016-04-05	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Metsky
DOM/2016/BB_0076	zika	KY014305	2016-04-05	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Metsky
DOM/2016/BB_0085	zika	KY785483	2016-04-07	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Metsky
DOM/2016/BB_0091	zika	KY785475	2016-04-07	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Metsky
DOM/2016/BB_0115	zika	KY014321	2016-04-11	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Metsky
DOM/2016/BB_0127	zika	KY014303	2016-04-11	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Metsky
DOM/2016/BB_0180	zika	KY014304	2016-04-18	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Metsky
DOM/2016/BB_0183	zika	KY785420	2016-04-18	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Metsky
DOM/2016/BB_0208	zika	KY014300	2016-04-20	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Metsky
DOM/2016/BB_0216	zika	KY014302	2016-04-21	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Metsky
DOM/2016/BB_0269	zika	KY014318	2016-04-27	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Metsky
DOM/2016/BB_0428	zika	KY785428	2016-06-13	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Metsky
DOM/2016/BB_0433	zika	KY785441	2016-06-13	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Metsky
DOM/2016/BB_0436	zika	KY014314	2016-06-14	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Metsky
DOM/2016/MA_WGS16_007	zika	KY785453	2016-05-10	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Metsky
DOM/2016/MA_WGS16_009	zika	KY785478	2016-05-24	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Metsky
DOM/2016/MA_WGS16_011	zika	KY785484	2016-06-06	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Metsky
DOM/2016/MA_WGS16_014	zika	KY785470	2016-06-18	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Metsky
DOM/2016/MA_WGS16_024	zika	KY785435	2016-07-07	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Metsky
DOM/2016/MA_WGS16_036	zika	KY785447	2016-09-22	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Metsky
DOM/2016/MA_WGS16_040	zika	KY785413	2016-10-06	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Metsky
Dominican_Rep_Rus_3ALT_2016	zika	MF098764	2016-05-11	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Karan
Dominican_Rep_Rus_4MRG_2016	zika	MF098765	2016-05-23	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Karan
Dominican_Rep_Rus_5RMN_2016	zika	MF098766	2016-05-31	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Karan
Dominican_Rep_Rus_7EGR_2016	zika	MF098768	2016-08-25	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Karan
