start_of_week,case_count
2015-07-12,7
2015-07-19,13
2015-07-26,14
2015-08-02,15
2015-08-09,12
2015-08-16,48
2015-08-23,32
2015-08-30,11
2015-09-06,18
2015-09-13,29
2015-09-20,52
2015-09-27,74
2015-10-04,132
2015-10-11,156
2015-10-18,251
2015-10-25,428
2015-11-01,521
2015-11-08,903
2015-11-15,1143
2015-11-22,1314
2015-11-29,1468
2015-12-06,1764
2015-12-13,1866
2015-12-20,2192
2015-12-27,1837
2016-01-03,2266
2016-01-10,3458
2016-01-17,3895
2016-01-24,4691
2016-01-31,5312
2016-02-07,5578
2016-02-14,4646
2016-02-21,4194
2016-02-28,3781
2016-03-06,3880
2016-03-13,3405
2016-03-20,2661
2016-03-27,2572
2016-04-03,3736
2016-04-10,3180
2016-04-17,3226
2016-04-24,2947
2016-05-01,2972
2016-05-08,2353
2016-05-15,2677
2016-05-22,2575
2016-05-29,2117
2016-06-05,1960
2016-06-12,1888
2016-06-19,1502
2016-06-26,1317
2016-07-03,943
2016-07-10,969
2016-07-17,735
2016-07-24,627
2016-07-31,512
2016-08-07,442
2016-08-14,305
2016-08-21,340
2016-08-28,270
2016-09-04,238
2016-09-11,226
2016-09-18,171
2016-09-25,188
2016-10-02,173
2016-10-09,134
2016-10-16,122
2016-10-23,150
2016-10-30,124
2016-11-06,103
2016-11-13,92
2016-11-20,85
2016-11-27,80
2016-12-04,89
2016-12-11,102
2016-12-18,78
2016-12-25,63
2017-01-01,36
2017-01-08,60
2017-01-15,49
2017-01-22,83
2017-01-29,89
2017-02-05,77
2017-02-12,75
2017-02-19,73
2017-02-26,66
2017-03-05,70
2017-03-12,62
2017-03-19,40
2017-03-26,43
2017-04-02,58
2017-04-09,30
2017-04-16,45
2017-04-23,48
2017-04-30,40
2017-05-07,30
2017-05-14,42
2017-05-21,42
2017-05-28,40
2017-06-04,27
2017-06-11,36
2017-06-18,29
2017-06-25,28
2017-07-02,39
2017-07-09,33
2017-07-16,46
2017-07-23,31
2017-07-30,35
2017-08-06,24
2017-08-13,32
2017-08-20,24
2017-08-27,36
2017-09-03,24
2017-09-10,24
2017-09-17,19
2017-09-24,31
2017-10-01,26
2017-10-08,21
2017-10-15,24
2017-10-22,23
2017-10-29,21
2017-11-05,21
2017-11-12,20
2017-11-19,17
2017-11-26,22
2017-12-03,18
2017-12-10,17
2017-12-17,33
2017-12-24,16
2017-12-31,8
