Map from character to field name
A:	american_samoa
B:	brazil
C:	colombia
D:	cuba
E:	dominican_republic
F:	ecuador
G:	el_salvador
H:	french_guiana
I:	french_polynesia
J:	guadeloupe
K:	guatemala
L:	haiti
M:	honduras
N:	jamaica
O:	martinique
P:	mexico
Q:	nicaragua
R:	panama
S:	peru
T:	puerto_rico
U:	saint_barthelemy
V:	suriname
W:	usa
X:	usvi
Y:	venezuela
Z:	?


Substitution rate (mu): 103.844974

Equilibrium frequencies (pi_i):
  A: 0.0392
  B: 0.0472
  C: 0.0422
  D: 0.0391
  E: 0.0421
  F: 0.039
  G: 0.0393
  H: 0.0391
  I: 0.0408
  J: 0.0393
  K: 0.0391
  L: 0.0383
  M: 0.0417
  N: 0.0392
  O: 0.0387
  P: 0.043
  Q: 0.0392
  R: 0.0389
  S: 0.039
  T: 0.039
  U: 0.0388
  V: 0.0387
  W: 0.0403
  X: 0.0399
  Y: 0.0388

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y
  A	0	1.0122	1.0126	1.0129	1.0127	1.0129	1.0129	1.0129	1.114	1.0129	1.0129	1.0129	1.0127	1.0129	1.0129	1.0125	1.0128	1.0129	1.0129	1.0129	1.0129	1.0129	1.0127	1.0127	1.0129
  B	1.0122	0	1.2141	1.0121	1.3154	1.0122	1.0122	1.0122	1.2143	1.0122	1.0122	1.2146	1.113	1.0122	1.1134	1.0117	1.0121	1.0122	1.0122	1.2146	1.1134	1.1134	1.0119	1.5178	1.2146
  C	1.0126	1.2141	0	1.0125	1.1135	1.1138	1.0126	1.0126	1.1136	1.0126	1.0126	1.0126	1.0123	1.0126	1.1138	1.0121	1.0125	1.2151	1.1138	1.0125	1.0126	1.0126	1.0123	1.1135	1.1138
  D	1.0129	1.0121	1.0125	0	1.3164	1.0129	1.0129	1.0129	1.0127	1.0129	1.1141	1.0129	1.0126	1.0129	1.0129	1.0125	1.0128	1.0129	1.0129	1.0128	1.0129	1.0129	1.0126	1.0126	1.0129
  E	1.0127	1.3154	1.1135	1.3164	0	1.0127	1.0127	1.0127	1.0125	1.114	1.0127	1.0127	1.0124	1.3165	1.0127	1.0123	1.0126	1.0127	1.0127	1.0127	1.0127	1.0127	1.2149	1.3162	1.1139
  F	1.0129	1.0122	1.1138	1.0129	1.0127	0	1.0129	1.0129	1.0127	1.0129	1.0129	1.0129	1.0127	1.0129	1.0129	1.0125	1.0128	1.0129	1.0129	1.0129	1.0129	1.0129	1.0127	1.0127	1.0129
  G	1.0129	1.0122	1.0126	1.0129	1.0127	1.0129	0	1.0129	1.0127	1.0129	1.1142	1.0129	1.2152	1.0129	1.0129	1.0125	1.0128	1.0129	1.0129	1.0129	1.0129	1.0129	1.0127	1.0127	1.0129
  H	1.0129	1.0122	1.0126	1.0129	1.0127	1.0129	1.0129	0	1.0127	1.0129	1.0129	1.0129	1.0127	1.0129	1.0129	1.0126	1.0128	1.0129	1.0129	1.0129	1.0129	1.0129	1.0127	1.114	1.0129
  I	1.114	1.2143	1.1136	1.0127	1.0125	1.0127	1.0127	1.0127	0	1.0127	1.0127	1.0127	1.0125	1.0127	1.0127	1.0123	1.0126	1.0127	1.0127	1.0127	1.0127	1.0127	1.0125	1.0125	1.0127
  J	1.0129	1.0122	1.0126	1.0129	1.114	1.0129	1.0129	1.0129	1.0127	0	1.0129	1.0129	1.0127	1.0129	1.0129	1.0125	1.0128	1.0129	1.0129	1.0129	1.0129	1.0129	1.114	1.0127	1.0129
  K	1.0129	1.0122	1.0126	1.1141	1.0127	1.0129	1.1142	1.0129	1.0127	1.0129	0	1.0129	1.2152	1.0129	1.0129	1.1138	1.0128	1.0129	1.0129	1.0129	1.0129	1.0129	1.0127	1.0127	1.0129
  L	1.0129	1.2146	1.0126	1.0129	1.0127	1.0129	1.0129	1.0129	1.0127	1.0129	1.0129	0	1.0127	1.1142	1.0129	1.0126	1.0128	1.0129	1.0129	1.0129	1.0129	1.0129	1.114	1.0127	1.0129
  M	1.0127	1.113	1.0123	1.0126	1.0124	1.0127	1.2152	1.0127	1.0125	1.0127	1.2152	1.0127	0	1.0127	1.0127	1.9233	1.8226	1.0127	1.0127	1.0126	1.0127	1.0127	1.0124	1.0124	1.0126
  N	1.0129	1.0122	1.0126	1.0129	1.3165	1.0129	1.0129	1.0129	1.0127	1.0129	1.0129	1.1142	1.0127	0	1.0129	1.0125	1.0128	1.0129	1.0129	1.0129	1.0129	1.0129	1.0127	1.0127	1.0129
  O	1.0129	1.1134	1.1138	1.0129	1.0127	1.0129	1.0129	1.0129	1.0127	1.0129	1.0129	1.0129	1.0127	1.0129	0	1.0125	1.0128	1.0129	1.0129	1.0129	1.0129	1.0129	1.0127	1.0127	1.0129
  P	1.0125	1.0117	1.0121	1.0125	1.0123	1.0125	1.0125	1.0126	1.0123	1.0125	1.1138	1.0126	1.9233	1.0125	1.0125	0	1.2149	1.0125	1.0125	1.0125	1.0126	1.0126	1.1135	1.0123	1.0125
  Q	1.0128	1.0121	1.0125	1.0128	1.0126	1.0128	1.0128	1.0128	1.0126	1.0128	1.0128	1.0128	1.8226	1.0128	1.0128	1.2149	0	1.0128	1.0128	1.0128	1.0128	1.0128	1.0126	1.0126	1.0128
